,context,task,construct,hits,task_hits,construct_hits
90,notEF,Reverse Categorization,Behavioral Control,0,2,2244
91,notEF,Tower of London,Behavioral Control,0,314,2244
92,notEF,Visuospatial Span,Behavioral Control,0,25,2244
93,notEF,Picture Symbol,Behavioral Control,0,1,2244
94,notEF,Counting Span,Behavioral Control,0,19,2244
95,notEF,Sentence Repetition,Behavioral Control,0,241,2244
96,notEF,SR Compatibility,Behavioral Control,0,6,2244
97,notEF,Simon Says,Behavioral Control,0,10,2244
98,notEF,Reversal Learning,Behavioral Control,6,1796,2244
99,notEF,Odd One Out,Behavioral Control,0,94,2244
100,notEF,Plus Minus Task,Behavioral Control,0,0,2244
101,notEF,Spatial Span,Behavioral Control,0,275,2244
102,notEF,Pychomotor Vigilance,Behavioral Control,0,0,2244
103,notEF,Toy Sort,Behavioral Control,0,0,2244
104,notEF,Simon,Behavioral Control,4,3086,2244
105,notEF,Semantic Fluency,Behavioral Control,0,598,2244
106,notEF,Oddity Switching,Behavioral Control,0,0,2244
107,notEF,Spin the Pots,Behavioral Control,0,0,2244
108,notEF,Object Substitution,Behavioral Control,0,129,2244
109,notEF,Number Letter,Behavioral Control,0,20,2244
110,notEF,N-back,Behavioral Control,2,1529,2244
111,notEF,MOT,Behavioral Control,0,1020,2244
112,notEF,Arithmatic Span,Behavioral Control,0,0,2244
113,notEF,Sentence Completion,Behavioral Control,0,506,2244
114,notEF,Automated Operation Span,Behavioral Control,0,17,2244
115,notEF,Self Control Schedule,Behavioral Control,0,47,2244
116,notEF,Stroop,Behavioral Control,7,5853,2244
117,notEF,STOP,Behavioral Control,34,56378,2244
118,notEF,Verbal Span,Behavioral Control,0,73,2244
119,notEF,OOO,Behavioral Control,0,154,2244
120,notEF,Backward Span,Behavioral Control,0,41,2244
121,notEF,OSpan,Behavioral Control,0,32,2244
122,notEF,Adaptive N-back,Behavioral Control,0,0,2244
123,notEF,Spatial Conflict Arrows,Behavioral Control,0,0,2244
124,notEF,Corsi Block Span,Behavioral Control,0,0,2244
125,notEF,Analogy Making,Behavioral Regulation,0,15,519
126,notEF,Animal Shifting,Behavioral Regulation,0,0,519
127,notEF,Anti Saccade,Behavioral Regulation,0,174,519
128,notEF,Attentional Blink,Behavioral Regulation,0,783,519
129,notEF,Attentional Network,Behavioral Regulation,0,314,519
130,notEF,Auditory Attention,Behavioral Regulation,0,811,519
131,notEF,Backward Color Recall,Behavioral Regulation,0,0,519
132,notEF,Balance Beam,Behavioral Regulation,0,345,519
133,notEF,BART,Behavioral Regulation,0,713,519
134,notEF,Balloon Analouge Risk Taking,Behavioral Regulation,0,0,519
135,notEF,Bear Alligator,Behavioral Regulation,0,0,519
136,notEF,Block Design Subtest,Behavioral Regulation,0,64,519
137,notEF,Box Crossing Dual,Behavioral Regulation,0,0,519
138,notEF,Category Fluency,Behavioral Regulation,0,513,519
139,notEF,Category Switch,Behavioral Regulation,0,3,519
140,notEF,Cognitive Flexibility,Behavioral Regulation,6,2008,519
141,notEF,Color Shape,Behavioral Regulation,0,78,519
142,notEF,Contingency Naming,Behavioral Regulation,0,0,519
143,notEF,CPT,Behavioral Regulation,0,12420,519
144,notEF,Continious Performance Task,Behavioral Regulation,0,0,519
145,notEF,AX-CPT,Behavioral Regulation,0,99,519
146,notEF,Controlled Attention,Behavioral Regulation,0,142,519
147,notEF,Counting Recall,Behavioral Regulation,0,0,519
148,notEF,Cued Unpredictable Switch,Behavioral Regulation,0,0,519
149,notEF,D2 Target Detection,Behavioral Regulation,0,0,519
150,notEF,Degraded Vigilance,Behavioral Regulation,0,0,519
151,notEF,Delay Choice,Behavioral Regulation,0,13,519
152,notEF,Delay Discounting Task,Behavioral Regulation,1,368,519
153,notEF,Delayed Alternation,Behavioral Regulation,0,441,519
154,notEF,Digit Shifting,Behavioral Regulation,0,0,519
155,notEF,Dimension Switching,Behavioral Regulation,0,1,519
156,notEF,DCCS,Behavioral Regulation,0,263,519
157,notEF,Dimensional Change Card Sort,Behavioral Regulation,0,27,519
158,notEF,Dragon,Behavioral Regulation,0,1284,519
159,notEF,Expressive Attention,Behavioral Regulation,0,0,519
160,notEF,Flanker,Behavioral Regulation,5,1512,519
161,notEF,Flexibility,Behavioral Regulation,13,68715,519
162,notEF,Flexible Item Selection,Behavioral Regulation,0,4,519
163,notEF,Gift Delay,Behavioral Regulation,0,1,519
164,notEF,Gift Wrap,Behavioral Regulation,0,4,519
165,notEF,Go/NoGo,Behavioral Regulation,1,841,519
166,notEF,TMT,Behavioral Regulation,0,2747,519
167,notEF,Trail Making Task,Behavioral Regulation,0,35,519
168,notEF,Grass Snow,Behavioral Regulation,0,1,519
169,notEF,Hayling Test,Behavioral Regulation,0,28,519
170,notEF,Head-Toes-Knees-Shoulders,Behavioral Regulation,3,6,519
171,notEF,Incompatibility Test,Behavioral Regulation,0,13,519
172,notEF,IGT,Behavioral Regulation,0,4718,519
173,notEF,Iowa Gambling Task,Behavioral Regulation,0,880,519
174,notEF,Keep Track,Behavioral Regulation,0,737,519
175,notEF,Knock and Tap,Behavioral Regulation,0,0,519
176,notEF,Letter Fluency,Behavioral Regulation,0,334,519
177,notEF,Letter Memory,Behavioral Regulation,0,36,519
178,notEF,Letter Monitoring,Behavioral Regulation,0,19,519
179,notEF,LNS,Behavioral Regulation,0,4255,519
180,notEF,Letter Number Sequencing,Behavioral Regulation,0,151,519
181,notEF,Lexical Fluency,Behavioral Regulation,0,22,519
182,notEF,Listening Recall,Behavioral Regulation,0,0,519
183,notEF,Local Global,Behavioral Regulation,0,227,519
184,notEF,Luria Hand Game,Behavioral Regulation,0,0,519
185,notEF,MONITOR,Behavioral Regulation,7,146955,519
186,notEF,Matrix Monitoring,Behavioral Regulation,0,0,519
187,notEF,Mental Counters,Behavioral Regulation,0,0,519
188,notEF,Mister X,Behavioral Regulation,0,0,519
189,notEF,MCST,Behavioral Regulation,0,56,519
190,notEF,Modified Card Sorting Test,Behavioral Regulation,0,40,519
191,notEF,More Less Odd Even,Behavioral Regulation,0,0,519
192,notEF,Wisconsin Card Sort,Behavioral Regulation,1,104,519
193,notEF,Stop Signal,Behavioral Regulation,0,1684,519
194,notEF,Complex Span,Behavioral Regulation,0,160,519
195,notEF,Pick the Picture,Behavioral Regulation,0,0,519
196,notEF,Digit Span,Behavioral Regulation,0,2660,519
197,notEF,Random Letter Generation,Behavioral Regulation,0,17,519
198,notEF,Snack Delay,Behavioral Regulation,0,12,519
199,notEF,Visual Matrix Span,Behavioral Regulation,0,0,519
200,notEF,Multiple Object Tracking,Behavioral Regulation,0,281,519
201,notEF,Block Span,Behavioral Regulation,0,19,519
202,notEF,Pictorial Updating,Behavioral Regulation,0,0,519
203,notEF,Nebraska Barnyard,Behavioral Regulation,0,0,519
204,notEF,Random Number Generation,Behavioral Regulation,0,220,519
205,notEF,Nine Boxes,Behavioral Regulation,0,3,519
206,notEF,Shape School,Behavioral Regulation,0,9,519
207,notEF,Tower of Hanoi,Behavioral Regulation,0,147,519
208,notEF,Verbal Fluency,Behavioral Regulation,2,4220,519
209,notEF,Pencil Tapping,Behavioral Regulation,0,4,519
210,notEF,WCST,Behavioral Regulation,1,915,519
211,notEF,Sorting,Behavioral Regulation,1,39345,519
212,notEF,Somethings the Same Game,Behavioral Regulation,0,0,519
213,notEF,Running Span,Behavioral Regulation,0,14,519
214,notEF,Serial Substraction of Sevens,Behavioral Regulation,0,0,519
215,notEF,Reverse Categorization,Behavioral Regulation,0,2,519
216,notEF,Tower of London,Behavioral Regulation,0,314,519
217,notEF,Visuospatial Span,Behavioral Regulation,0,25,519
218,notEF,Picture Symbol,Behavioral Regulation,0,1,519
219,notEF,Counting Span,Behavioral Regulation,0,19,519
220,notEF,Sentence Repetition,Behavioral Regulation,0,241,519
221,notEF,SR Compatibility,Behavioral Regulation,0,6,519
222,notEF,Simon Says,Behavioral Regulation,0,10,519
223,notEF,Reversal Learning,Behavioral Regulation,1,1796,519
224,notEF,Odd One Out,Behavioral Regulation,0,94,519
225,notEF,Plus Minus Task,Behavioral Regulation,0,0,519
226,notEF,Spatial Span,Behavioral Regulation,0,275,519
227,notEF,Pychomotor Vigilance,Behavioral Regulation,0,0,519
228,notEF,Toy Sort,Behavioral Regulation,0,0,519
229,notEF,Simon,Behavioral Regulation,0,3086,519
230,notEF,Semantic Fluency,Behavioral Regulation,0,598,519
231,notEF,Oddity Switching,Behavioral Regulation,0,0,519
232,notEF,Spin the Pots,Behavioral Regulation,0,0,519
233,notEF,Object Substitution,Behavioral Regulation,0,129,519
234,notEF,Number Letter,Behavioral Regulation,0,20,519
235,notEF,N-back,Behavioral Regulation,0,1529,519
236,notEF,MOT,Behavioral Regulation,0,1020,519
237,notEF,Arithmatic Span,Behavioral Regulation,0,0,519
238,notEF,Sentence Completion,Behavioral Regulation,0,506,519
239,notEF,Automated Operation Span,Behavioral Regulation,0,17,519
240,notEF,Self Control Schedule,Behavioral Regulation,0,47,519
241,notEF,Stroop,Behavioral Regulation,4,5853,519
242,notEF,STOP,Behavioral Regulation,2,56378,519
243,notEF,Verbal Span,Behavioral Regulation,0,73,519
244,notEF,OOO,Behavioral Regulation,0,154,519
245,notEF,Backward Span,Behavioral Regulation,0,41,519
246,notEF,OSpan,Behavioral Regulation,0,32,519
247,notEF,Adaptive N-back,Behavioral Regulation,0,0,519
248,notEF,Spatial Conflict Arrows,Behavioral Regulation,0,0,519
249,notEF,Corsi Block Span,Behavioral Regulation,0,0,519
250,notEF,Analogy Making,Central Executive,0,15,749
251,notEF,Animal Shifting,Central Executive,0,0,749
252,notEF,Anti Saccade,Central Executive,0,174,749
253,notEF,Attentional Blink,Central Executive,2,783,749
254,notEF,Attentional Network,Central Executive,0,314,749
255,notEF,Auditory Attention,Central Executive,2,811,749
256,notEF,Backward Color Recall,Central Executive,0,0,749
257,notEF,Balance Beam,Central Executive,0,345,749
258,notEF,BART,Central Executive,0,713,749
259,notEF,Balloon Analouge Risk Taking,Central Executive,0,0,749
260,notEF,Bear Alligator,Central Executive,0,0,749
261,notEF,Block Design Subtest,Central Executive,0,64,749
262,notEF,Box Crossing Dual,Central Executive,0,0,749
263,notEF,Category Fluency,Central Executive,2,513,749
264,notEF,Category Switch,Central Executive,0,3,749
265,notEF,Cognitive Flexibility,Central Executive,2,2008,749
266,notEF,Color Shape,Central Executive,0,78,749
267,notEF,Contingency Naming,Central Executive,0,0,749
268,notEF,CPT,Central Executive,4,12420,749
269,notEF,Continious Performance Task,Central Executive,0,0,749
270,notEF,AX-CPT,Central Executive,0,99,749
271,notEF,Controlled Attention,Central Executive,0,142,749
272,notEF,Counting Recall,Central Executive,0,0,749
273,notEF,Cued Unpredictable Switch,Central Executive,0,0,749
274,notEF,D2 Target Detection,Central Executive,0,0,749
275,notEF,Degraded Vigilance,Central Executive,0,0,749
276,notEF,Delay Choice,Central Executive,0,13,749
277,notEF,Delay Discounting Task,Central Executive,0,368,749
278,notEF,Delayed Alternation,Central Executive,0,441,749
279,notEF,Digit Shifting,Central Executive,0,0,749
280,notEF,Dimension Switching,Central Executive,0,1,749
281,notEF,DCCS,Central Executive,0,263,749
282,notEF,Dimensional Change Card Sort,Central Executive,0,27,749
283,notEF,Dragon,Central Executive,0,1284,749
284,notEF,Expressive Attention,Central Executive,0,0,749
285,notEF,Flanker,Central Executive,2,1512,749
286,notEF,Flexibility,Central Executive,10,68715,749
287,notEF,Flexible Item Selection,Central Executive,0,4,749
288,notEF,Gift Delay,Central Executive,0,1,749
289,notEF,Gift Wrap,Central Executive,0,4,749
290,notEF,Go/NoGo,Central Executive,1,841,749
291,notEF,TMT,Central Executive,2,2747,749
292,notEF,Trail Making Task,Central Executive,0,35,749
293,notEF,Grass Snow,Central Executive,0,1,749
294,notEF,Hayling Test,Central Executive,1,28,749
295,notEF,Head-Toes-Knees-Shoulders,Central Executive,0,6,749
296,notEF,Incompatibility Test,Central Executive,0,13,749
297,notEF,IGT,Central Executive,0,4718,749
298,notEF,Iowa Gambling Task,Central Executive,0,880,749
299,notEF,Keep Track,Central Executive,0,737,749
300,notEF,Knock and Tap,Central Executive,0,0,749
301,notEF,Letter Fluency,Central Executive,2,334,749
302,notEF,Letter Memory,Central Executive,0,36,749
303,notEF,Letter Monitoring,Central Executive,0,19,749
304,notEF,LNS,Central Executive,1,4255,749
305,notEF,Letter Number Sequencing,Central Executive,0,151,749
306,notEF,Lexical Fluency,Central Executive,0,22,749
307,notEF,Listening Recall,Central Executive,0,0,749
308,notEF,Local Global,Central Executive,0,227,749
309,notEF,Luria Hand Game,Central Executive,0,0,749
310,notEF,MONITOR,Central Executive,3,146955,749
311,notEF,Matrix Monitoring,Central Executive,0,0,749
312,notEF,Mental Counters,Central Executive,0,0,749
313,notEF,Mister X,Central Executive,0,0,749
314,notEF,MCST,Central Executive,0,56,749
315,notEF,Modified Card Sorting Test,Central Executive,1,40,749
316,notEF,More Less Odd Even,Central Executive,0,0,749
317,notEF,Wisconsin Card Sort,Central Executive,2,104,749
318,notEF,Stop Signal,Central Executive,2,1684,749
319,notEF,Complex Span,Central Executive,3,160,749
320,notEF,Pick the Picture,Central Executive,0,0,749
321,notEF,Digit Span,Central Executive,40,2660,749
322,notEF,Random Letter Generation,Central Executive,5,17,749
323,notEF,Snack Delay,Central Executive,0,12,749
324,notEF,Visual Matrix Span,Central Executive,0,0,749
325,notEF,Multiple Object Tracking,Central Executive,1,281,749
326,notEF,Block Span,Central Executive,2,19,749
327,notEF,Pictorial Updating,Central Executive,0,0,749
328,notEF,Nebraska Barnyard,Central Executive,0,0,749
329,notEF,Random Number Generation,Central Executive,6,220,749
330,notEF,Nine Boxes,Central Executive,0,3,749
331,notEF,Shape School,Central Executive,0,9,749
332,notEF,Tower of Hanoi,Central Executive,2,147,749
333,notEF,Verbal Fluency,Central Executive,8,4220,749
334,notEF,Pencil Tapping,Central Executive,0,4,749
335,notEF,WCST,Central Executive,6,915,749
336,notEF,Sorting,Central Executive,13,39345,749
337,notEF,Somethings the Same Game,Central Executive,0,0,749
338,notEF,Running Span,Central Executive,1,14,749
339,notEF,Serial Substraction of Sevens,Central Executive,0,0,749
340,notEF,Reverse Categorization,Central Executive,0,2,749
341,notEF,Tower of London,Central Executive,6,314,749
342,notEF,Visuospatial Span,Central Executive,4,25,749
343,notEF,Picture Symbol,Central Executive,0,1,749
344,notEF,Counting Span,Central Executive,2,19,749
345,notEF,Sentence Repetition,Central Executive,2,241,749
346,notEF,SR Compatibility,Central Executive,0,6,749
347,notEF,Simon Says,Central Executive,0,10,749
348,notEF,Reversal Learning,Central Executive,0,1796,749
349,notEF,Odd One Out,Central Executive,2,94,749
350,notEF,Plus Minus Task,Central Executive,0,0,749
351,notEF,Spatial Span,Central Executive,7,275,749
352,notEF,Pychomotor Vigilance,Central Executive,0,0,749
353,notEF,Toy Sort,Central Executive,0,0,749
354,notEF,Simon,Central Executive,0,3086,749
355,notEF,Semantic Fluency,Central Executive,1,598,749
356,notEF,Oddity Switching,Central Executive,0,0,749
357,notEF,Spin the Pots,Central Executive,0,0,749
358,notEF,Object Substitution,Central Executive,0,129,749
359,notEF,Number Letter,Central Executive,1,20,749
360,notEF,N-back,Central Executive,16,1529,749
361,notEF,MOT,Central Executive,0,1020,749
362,notEF,Arithmatic Span,Central Executive,0,0,749
363,notEF,Sentence Completion,Central Executive,2,506,749
364,notEF,Automated Operation Span,Central Executive,0,17,749
365,notEF,Self Control Schedule,Central Executive,0,47,749
366,notEF,Stroop,Central Executive,10,5853,749
367,notEF,STOP,Central Executive,3,56378,749
368,notEF,Verbal Span,Central Executive,9,73,749
369,notEF,OOO,Central Executive,0,154,749
370,notEF,Backward Span,Central Executive,4,41,749
371,notEF,OSpan,Central Executive,0,32,749
372,notEF,Adaptive N-back,Central Executive,0,0,749
373,notEF,Spatial Conflict Arrows,Central Executive,0,0,749
374,notEF,Corsi Block Span,Central Executive,0,0,749
375,notEF,Analogy Making,Cognitive Flexibility,0,15,2008
376,notEF,Animal Shifting,Cognitive Flexibility,0,0,2008
377,notEF,Anti Saccade,Cognitive Flexibility,2,174,2008
378,notEF,Attentional Blink,Cognitive Flexibility,3,783,2008
379,notEF,Attentional Network,Cognitive Flexibility,0,314,2008
380,notEF,Auditory Attention,Cognitive Flexibility,4,811,2008
381,notEF,Backward Color Recall,Cognitive Flexibility,0,0,2008
382,notEF,Balance Beam,Cognitive Flexibility,1,345,2008
383,notEF,BART,Cognitive Flexibility,0,713,2008
384,notEF,Balloon Analouge Risk Taking,Cognitive Flexibility,0,0,2008
385,notEF,Bear Alligator,Cognitive Flexibility,0,0,2008
386,notEF,Block Design Subtest,Cognitive Flexibility,1,64,2008
387,notEF,Box Crossing Dual,Cognitive Flexibility,0,0,2008
388,notEF,Category Fluency,Cognitive Flexibility,2,513,2008
389,notEF,Category Switch,Cognitive Flexibility,0,3,2008
390,notEF,Cognitive Flexibility,Cognitive Flexibility,2008,2008,2008
391,notEF,Color Shape,Cognitive Flexibility,1,78,2008
392,notEF,Contingency Naming,Cognitive Flexibility,0,0,2008
393,notEF,CPT,Cognitive Flexibility,8,12420,2008
394,notEF,Continious Performance Task,Cognitive Flexibility,0,0,2008
395,notEF,AX-CPT,Cognitive Flexibility,3,99,2008
396,notEF,Controlled Attention,Cognitive Flexibility,0,142,2008
397,notEF,Counting Recall,Cognitive Flexibility,0,0,2008
398,notEF,Cued Unpredictable Switch,Cognitive Flexibility,0,0,2008
399,notEF,D2 Target Detection,Cognitive Flexibility,0,0,2008
400,notEF,Degraded Vigilance,Cognitive Flexibility,0,0,2008
401,notEF,Delay Choice,Cognitive Flexibility,0,13,2008
402,notEF,Delay Discounting Task,Cognitive Flexibility,0,368,2008
403,notEF,Delayed Alternation,Cognitive Flexibility,2,441,2008
404,notEF,Digit Shifting,Cognitive Flexibility,0,0,2008
405,notEF,Dimension Switching,Cognitive Flexibility,0,1,2008
406,notEF,DCCS,Cognitive Flexibility,7,263,2008
407,notEF,Dimensional Change Card Sort,Cognitive Flexibility,3,27,2008
408,notEF,Dragon,Cognitive Flexibility,0,1284,2008
409,notEF,Expressive Attention,Cognitive Flexibility,0,0,2008
410,notEF,Flanker,Cognitive Flexibility,10,1512,2008
411,notEF,Flexibility,Cognitive Flexibility,2012,68715,2008
412,notEF,Flexible Item Selection,Cognitive Flexibility,2,4,2008
413,notEF,Gift Delay,Cognitive Flexibility,0,1,2008
414,notEF,Gift Wrap,Cognitive Flexibility,0,4,2008
415,notEF,Go/NoGo,Cognitive Flexibility,4,841,2008
416,notEF,TMT,Cognitive Flexibility,35,2747,2008
417,notEF,Trail Making Task,Cognitive Flexibility,2,35,2008
418,notEF,Grass Snow,Cognitive Flexibility,0,1,2008
419,notEF,Hayling Test,Cognitive Flexibility,2,28,2008
420,notEF,Head-Toes-Knees-Shoulders,Cognitive Flexibility,0,6,2008
421,notEF,Incompatibility Test,Cognitive Flexibility,0,13,2008
422,notEF,IGT,Cognitive Flexibility,10,4718,2008
423,notEF,Iowa Gambling Task,Cognitive Flexibility,13,880,2008
424,notEF,Keep Track,Cognitive Flexibility,1,737,2008
425,notEF,Knock and Tap,Cognitive Flexibility,0,0,2008
426,notEF,Letter Fluency,Cognitive Flexibility,1,334,2008
427,notEF,Letter Memory,Cognitive Flexibility,0,36,2008
428,notEF,Letter Monitoring,Cognitive Flexibility,0,19,2008
429,notEF,LNS,Cognitive Flexibility,0,4255,2008
430,notEF,Letter Number Sequencing,Cognitive Flexibility,0,151,2008
431,notEF,Lexical Fluency,Cognitive Flexibility,0,22,2008
432,notEF,Listening Recall,Cognitive Flexibility,0,0,2008
433,notEF,Local Global,Cognitive Flexibility,1,227,2008
434,notEF,Luria Hand Game,Cognitive Flexibility,0,0,2008
435,notEF,MONITOR,Cognitive Flexibility,15,146955,2008
436,notEF,Matrix Monitoring,Cognitive Flexibility,0,0,2008
437,notEF,Mental Counters,Cognitive Flexibility,0,0,2008
438,notEF,Mister X,Cognitive Flexibility,0,0,2008
439,notEF,MCST,Cognitive Flexibility,0,56,2008
440,notEF,Modified Card Sorting Test,Cognitive Flexibility,2,40,2008
441,notEF,More Less Odd Even,Cognitive Flexibility,0,0,2008
442,notEF,Wisconsin Card Sort,Cognitive Flexibility,6,104,2008
443,notEF,Stop Signal,Cognitive Flexibility,19,1684,2008
444,notEF,Complex Span,Cognitive Flexibility,1,160,2008
445,notEF,Pick the Picture,Cognitive Flexibility,0,0,2008
446,notEF,Digit Span,Cognitive Flexibility,22,2660,2008
447,notEF,Random Letter Generation,Cognitive Flexibility,0,17,2008
448,notEF,Snack Delay,Cognitive Flexibility,0,12,2008
449,notEF,Visual Matrix Span,Cognitive Flexibility,0,0,2008
450,notEF,Multiple Object Tracking,Cognitive Flexibility,0,281,2008
451,notEF,Block Span,Cognitive Flexibility,0,19,2008
452,notEF,Pictorial Updating,Cognitive Flexibility,0,0,2008
453,notEF,Nebraska Barnyard,Cognitive Flexibility,0,0,2008
454,notEF,Random Number Generation,Cognitive Flexibility,0,220,2008
455,notEF,Nine Boxes,Cognitive Flexibility,0,3,2008
456,notEF,Shape School,Cognitive Flexibility,2,9,2008
457,notEF,Tower of Hanoi,Cognitive Flexibility,0,147,2008
458,notEF,Verbal Fluency,Cognitive Flexibility,110,4220,2008
459,notEF,Pencil Tapping,Cognitive Flexibility,0,4,2008
460,notEF,WCST,Cognitive Flexibility,63,915,2008
461,notEF,Sorting,Cognitive Flexibility,119,39345,2008
462,notEF,Somethings the Same Game,Cognitive Flexibility,0,0,2008
463,notEF,Running Span,Cognitive Flexibility,0,14,2008
464,notEF,Serial Substraction of Sevens,Cognitive Flexibility,0,0,2008
465,notEF,Reverse Categorization,Cognitive Flexibility,0,2,2008
466,notEF,Tower of London,Cognitive Flexibility,6,314,2008
467,notEF,Visuospatial Span,Cognitive Flexibility,0,25,2008
468,notEF,Picture Symbol,Cognitive Flexibility,0,1,2008
469,notEF,Counting Span,Cognitive Flexibility,0,19,2008
470,notEF,Sentence Repetition,Cognitive Flexibility,0,241,2008
471,notEF,SR Compatibility,Cognitive Flexibility,0,6,2008
472,notEF,Simon Says,Cognitive Flexibility,0,10,2008
473,notEF,Reversal Learning,Cognitive Flexibility,209,1796,2008
474,notEF,Odd One Out,Cognitive Flexibility,1,94,2008
475,notEF,Plus Minus Task,Cognitive Flexibility,0,0,2008
476,notEF,Spatial Span,Cognitive Flexibility,2,275,2008
477,notEF,Pychomotor Vigilance,Cognitive Flexibility,0,0,2008
478,notEF,Toy Sort,Cognitive Flexibility,0,0,2008
