task,concept,timestamp_ms,task_concept_ef_hits,task_suffixtask_concept_ef_hits,task_suffixtest_concept_ef_hits,task_suffixgame_concept_ef_hits,task_concept_hits,task_suffixtask_concept_hits,task_suffixtest_concept_hits,task_suffixgame_concept_hits,concept_hits,concept_ef_hits,task_hits,task_suffixtask_hits,task_suffixtest_hits,task_suffixgame_hits,task_ef_hits,task_suffixtask_ef_hits,task_suffixgame_ef_hits,task_suffixtest_ef_hits
Anti Saccade,Self Control,1578871042518,0,0,0,0,0,0,0,0,5575,180,188,95,0,0,14,7,0,0
Anti Saccade,Sequencing,1578871056459,0,0,0,0,0,0,0,0,276977,202,188,95,0,0,14,7,0,0
Anti Saccade,Shifting,1578871071729,0,0,0,0,3,0,0,0,34148,1189,188,95,0,0,14,7,0,0
Anti Saccade,Strategic Retrieval,1578871086061,0,0,0,0,0,0,0,0,86,14,188,95,0,0,14,7,0,0
Anti Saccade,Switching,1578871099933,0,0,0,0,5,2,0,0,60109,880,188,95,0,0,14,7,0,0
Anti Saccade,Updating,1578871114263,0,0,0,0,3,1,0,0,11598,405,188,95,0,0,14,7,0,0
Anti Saccade,Verbal Processing,1578871128293,0,0,0,0,0,0,0,0,316,18,188,95,0,0,14,7,0,0
Anti Saccade,Visuospatial Processing,1578871142127,0,0,0,0,0,0,0,0,562,54,188,95,0,0,14,7,0,0
Anti Saccade,Volition,1578871158809,0,0,0,0,0,0,0,0,848,19,188,95,0,0,14,7,0,0
Attentional Blink,Behavioral Control,1578871172826,0,0,0,0,2,0,0,0,2305,61,799,61,0,0,16,1,0,0
Attentional Blink,Behavioral Regulation,1578871186696,0,0,0,0,0,0,0,0,650,131,799,61,0,0,16,1,0,0
Attentional Blink,Central Executive,1578871200530,0,0,0,0,2,0,0,0,951,202,799,61,0,0,16,1,0,0
Attentional Blink,Cognitive Flexibility,1578871214497,0,0,0,0,3,0,0,0,2906,898,799,61,0,0,16,1,0,0
Attentional Blink,Cognitive Control,1578871228506,4,0,0,0,14,1,0,0,6945,1301,799,61,0,0,16,1,0,0
Attentional Blink,Inhibition,1578871242577,2,0,0,0,39,0,0,0,850706,2665,799,61,0,0,16,1,0,0
Attentional Blink,Inference Control,1578871261881,0,0,0,0,0,0,0,0,3,1,799,61,0,0,16,1,0,0
Attentional Blink,Response Inhibition,1578871275851,1,0,0,0,2,0,0,0,3940,820,799,61,0,0,16,1,0,0
Attentional Blink,Working Memory,1578871289917,5,0,0,0,99,3,0,0,30660,4422,799,61,0,0,16,1,0,0
Attentional Blink,Creativity,1578871304146,0,0,0,0,0,0,0,0,6298,60,799,61,0,0,16,1,0,0
Attentional Blink,Deductive Reasoning,1578871318165,0,0,0,0,0,0,0,0,390,6,799,61,0,0,16,1,0,0
Attentional Blink,Dual Task Coordination,1578871332265,0,0,0,0,0,0,0,0,29,4,799,61,0,0,16,1,0,0
Attentional Blink,Effective Performance,1578871346207,0,0,0,0,0,0,0,0,471,4,799,61,0,0,16,1,0,0
Attentional Blink,Emotional Control,1578871359929,0,0,0,0,1,1,0,0,821,119,799,61,0,0,16,1,0,0
Attentional Blink,Emotional Regulation,1578871373946,0,0,0,0,1,0,0,0,1798,87,799,61,0,0,16,1,0,0
Attentional Blink,Executive Control,1578871387929,3,1,0,0,5,2,0,0,3581,1413,799,61,0,0,16,1,0,0
Attentional Blink,Feedback Learning,1578871402172,0,0,0,0,0,0,0,0,132,3,799,61,0,0,16,1,0,0
Attentional Blink,Fluency,1578871416021,0,0,0,0,2,1,0,0,11727,1826,799,61,0,0,16,1,0,0
Attentional Blink,Generativity,1578871430374,0,0,0,0,0,0,0,0,375,25,799,61,0,0,16,1,0,0
Attentional Blink,Fluid Intelligence,1578871444671,2,0,0,0,3,0,0,0,937,142,799,61,0,0,16,1,0,0
Attentional Blink,Logical Reasoning,1578871459858,0,0,0,0,0,0,0,0,376,17,799,61,0,0,16,1,0,0
Attentional Blink,Relational Reasoning,1578871473765,0,0,0,0,0,0,0,0,102,8,799,61,0,0,16,1,0,0
Attentional Blink,Inhibition Control,1578871487751,0,0,0,0,0,0,0,0,179,24,799,61,0,0,16,1,0,0
Attentional Blink,Initiation,1578871501716,0,0,0,0,3,0,0,0,225385,342,799,61,0,0,16,1,0,0
Attentional Blink,Mindfulness,1578871518464,0,0,0,0,1,0,0,0,6934,96,799,61,0,0,16,1,0,0
Attentional Blink,Motivational Drive,1578871532577,0,0,0,0,0,0,0,0,116,7,799,61,0,0,16,1,0,0
Attentional Blink,Organization,1578871546535,0,0,0,0,2,0,0,0,278005,514,799,61,0,0,16,1,0,0
Attentional Blink,Problem Solving,1578871561815,0,0,0,0,0,0,0,0,17666,511,799,61,0,0,16,1,0,0
Attentional Blink,Responsive Action,1578871575912,0,0,0,0,0,0,0,0,27,0,799,61,0,0,16,1,0,0
Attentional Blink,Response Conflict,1578871589751,0,0,0,0,1,1,0,0,619,61,799,61,0,0,16,1,0,0
Attentional Blink,Reward Processing,1578871603810,0,0,0,0,0,0,0,0,2034,79,799,61,0,0,16,1,0,0
Attentional Blink,Self Control,1578871617787,0,0,0,0,0,0,0,0,5575,180,799,61,0,0,16,1,0,0
Attentional Blink,Sequencing,1578871631682,2,0,0,0,2,0,0,0,276977,202,799,61,0,0,16,1,0,0
Attentional Blink,Shifting,1578871646836,2,0,0,0,8,0,0,0,34148,1189,799,61,0,0,16,1,0,0
Attentional Blink,Strategic Retrieval,1578871661068,0,0,0,0,0,0,0,0,86,14,799,61,0,0,16,1,0,0
Attentional Blink,Switching,1578871674952,0,0,0,0,26,2,0,0,60109,880,799,61,0,0,16,1,0,0
Attentional Blink,Updating,1578871689294,0,0,0,0,6,0,0,0,11598,405,799,61,0,0,16,1,0,0
Attentional Blink,Verbal Processing,1578871703636,0,0,0,0,0,0,0,0,316,18,799,61,0,0,16,1,0,0
Attentional Blink,Visuospatial Processing,1578871717570,0,0,0,0,0,0,0,0,562,54,799,61,0,0,16,1,0,0
Attentional Blink,Volition,1578871731367,0,0,0,0,0,0,0,0,848,19,799,61,0,0,16,1,0,0
Attentional Network,Behavioral Control,1578871745852,0,0,0,0,0,0,0,0,2305,61,374,34,72,0,60,11,0,25
Attentional Network,Behavioral Regulation,1578871760696,0,0,0,0,0,0,0,0,650,131,374,34,72,0,60,11,0,25
Attentional Network,Central Executive,1578871774505,1,0,0,0,1,0,0,0,951,202,374,34,72,0,60,11,0,25
Attentional Network,Cognitive Flexibility,1578871788347,0,0,0,0,0,0,0,0,2906,898,374,34,72,0,60,11,0,25
Attentional Network,Cognitive Control,1578871802654,4,2,2,0,16,4,2,0,6945,1301,374,34,72,0,60,11,0,25
Attentional Network,Inhibition,1578871816766,10,1,3,0,22,3,5,0,850706,2665,374,34,72,0,60,11,0,25
Attentional Network,Inference Control,1578871833941,0,0,0,0,0,0,0,0,3,1,374,34,72,0,60,11,0,25
Attentional Network,Response Inhibition,1578871848420,1,0,1,0,1,0,1,0,3940,820,374,34,72,0,60,11,0,25
Attentional Network,Working Memory,1578871862428,10,3,2,0,33,10,4,0,30660,4422,374,34,72,0,60,11,0,25
Attentional Network,Creativity,1578871876812,0,0,0,0,0,0,0,0,6298,60,374,34,72,0,60,11,0,25
Attentional Network,Deductive Reasoning,1578871890947,0,0,0,0,0,0,0,0,390,6,374,34,72,0,60,11,0,25
Attentional Network,Dual Task Coordination,1578871904815,0,0,0,0,0,0,0,0,29,4,374,34,72,0,60,11,0,25
Attentional Network,Effective Performance,1578871918815,0,0,0,0,0,0,0,0,471,4,374,34,72,0,60,11,0,25
Attentional Network,Emotional Control,1578871932788,0,0,0,0,1,0,0,0,821,119,374,34,72,0,60,11,0,25
Attentional Network,Emotional Regulation,1578871946703,0,0,0,0,2,0,0,0,1798,87,374,34,72,0,60,11,0,25
Attentional Network,Executive Control,1578871960812,28,3,14,0,58,9,29,0,3581,1413,374,34,72,0,60,11,0,25
Attentional Network,Feedback Learning,1578871974780,0,0,0,0,0,0,0,0,132,3,374,34,72,0,60,11,0,25
Attentional Network,Fluency,1578871988686,0,0,0,0,2,0,1,0,11727,1826,374,34,72,0,60,11,0,25
Attentional Network,Generativity,1578872002977,0,0,0,0,0,0,0,0,375,25,374,34,72,0,60,11,0,25
Attentional Network,Fluid Intelligence,1578872016766,0,0,0,0,1,0,1,0,937,142,374,34,72,0,60,11,0,25
Attentional Network,Logical Reasoning,1578872030879,0,0,0,0,0,0,0,0,376,17,374,34,72,0,60,11,0,25
Attentional Network,Relational Reasoning,1578872045058,0,0,0,0,0,0,0,0,102,8,374,34,72,0,60,11,0,25
Attentional Network,Inhibition Control,1578872060471,0,0,0,0,0,0,0,0,179,24,374,34,72,0,60,11,0,25
Attentional Network,Initiation,1578872075033,0,0,0,0,0,0,0,0,225385,342,374,34,72,0,60,11,0,25
Attentional Network,Mindfulness,1578872089956,1,1,0,0,7,2,2,0,6934,96,374,34,72,0,60,11,0,25
Attentional Network,Motivational Drive,1578872103842,0,0,0,0,0,0,0,0,116,7,374,34,72,0,60,11,0,25
Attentional Network,Organization,1578872117726,3,1,1,0,8,1,1,0,278005,514,374,34,72,0,60,11,0,25
Attentional Network,Problem Solving,1578872132932,0,0,0,0,1,0,0,0,17666,511,374,34,72,0,60,11,0,25
Attentional Network,Responsive Action,1578872146897,0,0,0,0,0,0,0,0,27,0,374,34,72,0,60,11,0,25
Attentional Network,Response Conflict,1578872160727,0,0,0,0,1,0,0,0,619,61,374,34,72,0,60,11,0,25
Attentional Network,Reward Processing,1578872174585,0,0,0,0,0,0,0,0,2034,79,374,34,72,0,60,11,0,25
Attentional Network,Self Control,1578872188449,0,0,0,0,1,0,0,0,5575,180,374,34,72,0,60,11,0,25
Attentional Network,Sequencing,1578872202393,0,0,0,0,0,0,0,0,276977,202,374,34,72,0,60,11,0,25
Attentional Network,Shifting,1578872217406,0,0,0,0,9,3,0,0,34148,1189,374,34,72,0,60,11,0,25
Attentional Network,Strategic Retrieval,1578872231553,0,0,0,0,0,0,0,0,86,14,374,34,72,0,60,11,0,25
Attentional Network,Switching,1578872245279,1,0,1,0,13,1,2,0,60109,880,374,34,72,0,60,11,0,25
Attentional Network,Updating,1578872259871,2,0,0,0,7,0,0,0,11598,405,374,34,72,0,60,11,0,25
Attentional Network,Verbal Processing,1578872274312,0,0,0,0,0,0,0,0,316,18,374,34,72,0,60,11,0,25
Attentional Network,Visuospatial Processing,1578872288183,0,0,0,0,0,0,0,0,562,54,374,34,72,0,60,11,0,25
Attentional Network,Volition,1578872302007,0,0,0,0,0,0,0,0,848,19,374,34,72,0,60,11,0,25
Auditory Attention,Behavioral Control,1578872316000,0,0,0,0,0,0,0,0,2305,61,864,46,8,0,53,1,0,0
Auditory Attention,Behavioral Regulation,1578872329883,1,0,0,0,1,0,0,0,650,131,864,46,8,0,53,1,0,0
Auditory Attention,Central Executive,1578872343772,0,0,0,0,2,0,0,0,951,202,864,46,8,0,53,1,0,0
Auditory Attention,Cognitive Flexibility,1578872358980,3,0,0,0,7,0,0,0,2906,898,864,46,8,0,53,1,0,0
Auditory Attention,Cognitive Control,1578872372895,3,0,0,0,18,2,0,0,6945,1301,864,46,8,0,53,1,0,0
Auditory Attention,Inhibition,1578872390566,15,1,0,0,49,1,0,0,850706,2665,864,46,8,0,53,1,0,0
Auditory Attention,Inference Control,1578872407459,0,0,0,0,0,0,0,0,3,1,864,46,8,0,53,1,0,0
Auditory Attention,Response Inhibition,1578872421553,7,0,0,0,11,0,0,0,3940,820,864,46,8,0,53,1,0,0
Auditory Attention,Working Memory,1578872435557,18,1,0,0,75,2,1,0,30660,4422,864,46,8,0,53,1,0,0
Auditory Attention,Creativity,1578872449888,0,0,0,0,0,0,0,0,6298,60,864,46,8,0,53,1,0,0
Auditory Attention,Deductive Reasoning,1578872463850,0,0,0,0,0,0,0,0,390,6,864,46,8,0,53,1,0,0
Auditory Attention,Dual Task Coordination,1578872477816,0,0,0,0,0,0,0,0,29,4,864,46,8,0,53,1,0,0
Auditory Attention,Effective Performance,1578872491627,0,0,0,0,0,0,0,0,471,4,864,46,8,0,53,1,0,0
Auditory Attention,Emotional Control,1578872505706,0,0,0,0,1,0,0,0,821,119,864,46,8,0,53,1,0,0
Auditory Attention,Emotional Regulation,1578872519654,0,0,0,0,0,0,0,0,1798,87,864,46,8,0,53,1,0,0
Auditory Attention,Executive Control,1578872533584,3,0,0,0,9,1,0,0,3581,1413,864,46,8,0,53,1,0,0
Auditory Attention,Feedback Learning,1578872547840,0,0,0,0,0,0,0,0,132,3,864,46,8,0,53,1,0,0
Auditory Attention,Fluency,1578872562041,4,0,0,0,21,0,0,0,11727,1826,864,46,8,0,53,1,0,0
Auditory Attention,Generativity,1578872576490,0,0,0,0,0,0,0,0,375,25,864,46,8,0,53,1,0,0
Auditory Attention,Fluid Intelligence,1578872590410,0,0,0,0,2,0,0,0,937,142,864,46,8,0,53,1,0,0
Auditory Attention,Logical Reasoning,1578872604532,0,0,0,0,1,0,0,0,376,17,864,46,8,0,53,1,0,0
Auditory Attention,Relational Reasoning,1578872618483,0,0,0,0,0,0,0,0,102,8,864,46,8,0,53,1,0,0
Auditory Attention,Inhibition Control,1578872632235,0,0,0,0,0,0,0,0,179,24,864,46,8,0,53,1,0,0
Auditory Attention,Initiation,1578872646604,0,0,0,0,3,1,0,0,225385,342,864,46,8,0,53,1,0,0
Auditory Attention,Mindfulness,1578872662888,0,0,0,0,1,0,0,0,6934,96,864,46,8,0,53,1,0,0
Auditory Attention,Motivational Drive,1578872676852,0,0,0,0,0,0,0,0,116,7,864,46,8,0,53,1,0,0
Auditory Attention,Organization,1578872690574,1,0,0,0,17,0,0,0,278005,514,864,46,8,0,53,1,0,0
Auditory Attention,Problem Solving,1578872705782,1,0,0,0,8,0,0,0,17666,511,864,46,8,0,53,1,0,0
Auditory Attention,Responsive Action,1578872720456,0,0,0,0,0,0,0,0,27,0,864,46,8,0,53,1,0,0
Auditory Attention,Response Conflict,1578872734302,0,0,0,0,0,0,0,0,619,61,864,46,8,0,53,1,0,0
Auditory Attention,Reward Processing,1578872748391,0,0,0,0,0,0,0,0,2034,79,864,46,8,0,53,1,0,0
Auditory Attention,Self Control,1578872762904,0,0,0,0,5,0,0,0,5575,180,864,46,8,0,53,1,0,0
Auditory Attention,Sequencing,1578872776787,1,0,0,0,4,0,0,0,276977,202,864,46,8,0,53,1,0,0
Auditory Attention,Shifting,1578872792138,4,0,0,0,28,0,0,0,34148,1189,864,46,8,0,53,1,0,0
Auditory Attention,Strategic Retrieval,1578872806475,0,0,0,0,0,0,0,0,86,14,864,46,8,0,53,1,0,0
