task,timestamp_ms,task_hits,task_suffixtask_hits,task_suffixtest_hits,task_suffixgame_hits,task_ef_hits,task_suffixtask_ef_hits,task_suffixgame_ef_hits,task_suffixtest_ef_hits
Mental Counters,1578917357879,0,0,0,0,0,0,0,0
Mister X,1578917364306,0,0,0,0,0,0,0,0
MCST,1578917370753,67,0,0,0,11,0,0,0
Modified Card Sorting Test,1578917377139,55,0,0,0,15,0,0,0
More Less Odd Even,1578917383508,0,0,0,0,0,0,0,0
MOT,1578917389839,1027,58,6,0,7,2,0,0
Multiple Object Tracking,1578917396300,285,52,0,0,4,2,0,0
N-back,1578917410742,1775,932,71,0,246,135,0,11
Adaptive N-back,1578917417324,0,0,0,0,0,0,0,0
Nebraska Barnyard,1578917423696,0,0,0,0,0,0,0,0
Nine Boxes,1578917430066,3,0,0,0,0,0,0,0
Number Letter,1578917436501,53,14,0,0,33,9,0,0
Object Substitution,1578917442825,129,0,0,0,0,0,0,0
OOO,1578917449419,154,0,0,0,0,0,0,0
Odd One Out,1578917455803,96,13,0,0,2,1,0,0
Oddity Switching,1578917462176,0,0,0,0,0,0,0,0
Pencil Tapping,1578917468528,4,0,0,0,0,0,0,0
Pick the Picture,1578917475507,0,0,0,0,0,0,0,0
Pictorial Updating,1578917485514,0,0,0,0,0,0,0,0
Picture Symbol,1578917492464,1,0,0,0,0,0,0,0
Plus Minus Task,1578917499057,0,0,0,0,0,0,0,0
Pychomotor Vigilance,1578917506689,0,0,0,0,0,0,0,0
Random Letter Generation,1578917514951,21,3,0,0,4,2,0,0
Random Number Generation,1578917521652,259,45,5,0,39,15,0,3
Reversal Learning,1578917528060,1943,302,20,0,147,21,0,2
Reverse Categorization,1578917534635,6,0,0,0,4,0,0,0
SR Compatibility,1578917541023,6,0,0,0,0,0,0,0
STOP,1578917547709,56704,139,53,0,326,18,0,0
Self Control Schedule,1578917554593,48,0,0,0,1,0,0,0
Semantic Fluency,1578917561015,749,88,44,0,151,18,0,9
Sentence Completion,1578917569386,557,117,216,0,51,5,0,42
Sentence Repetition,1578917578471,244,49,15,0,3,1,0,0
Serial Substraction of Sevens,1578917584850,0,0,0,0,0,0,0,0
Shape School,1578917782929,17,5,0,0,8,3,0,0
Simon Says,1578917790982,12,0,0,0,2,0,0,0
Simon,1578917797989,3199,595,0,0,113,76,0,0
Snack Delay,1578917805537,17,0,0,0,5,0,0,0
Somethings the Same Game,1578917812081,0,0,0,0,0,0,0,0
Sorting,1578917818432,40263,487,2375,0,918,88,0,756
Arithmatic Span,1578917826188,0,0,0,0,0,0,0,0
Automated Operation Span,1578917832589,18,12,2,0,1,1,0,0
Backward Span,1578917838999,48,3,4,0,7,0,0,0
Block Span,1578917845369,23,0,0,0,4,0,0,0
Complex Span,1578917852806,169,44,0,0,9,1,0,0
Corsi Block Span,1578917861534,0,0,0,0,0,0,0,0
Counting Span,1578917868029,21,9,0,0,2,0,0,0
Digit Span,1578917874544,3137,175,423,0,477,28,0,73
OSpan,1578917881153,45,15,0,0,13,5,0,0
Running Span,1578917887582,24,10,0,0,10,4,0,0
Spatial Span,1578917899860,333,33,20,0,58,5,0,4
Verbal Span,1578917906724,85,7,5,0,12,0,0,0
Visual Matrix Span,1578917913386,0,0,0,0,0,0,0,0
Visuospatial Span,1578917920302,29,4,0,0,4,1,0,0
Spatial Conflict Arrows,1578917927069,0,0,0,0,0,0,0,0
Spin the Pots,1578919266210,0,0,0,0,0,0,0,0
Stop Signal,1578919278410,1942,1020,21,0,258,180,0,5
Stroop,1578919284915,7248,2531,1624,0,1395,389,0,390
Tower of Hanoi,1578919291883,216,1,16,0,69,0,0,8
Tower of London,1578919298564,552,128,83,0,238,45,0,39
Toy Sort,1578919304917,0,0,0,0,0,0,0,0
Verbal Fluency,1578919311284,5389,521,684,0,1169,71,0,144
WCST,1578919317967,1409,5,6,0,494,0,0,1
Wisconsin Card Sort,1578919324454,159,22,99,0,55,11,0,30
